# CarANC Session Log
# format=jsonl
# vehicle=skoda Octavia 2019
# scenario=行駛中
# phonePlacement=中控下方
# connectionType=usb androidauto
# ---
{"ts":1781739456137,"phase":"session_start","vehicleModel":"skoda Octavia 2019","scenario":"行駛中","phonePlacement":"中控下方","connectionType":"usb androidauto","deviceModel":"Pixel 10 Pro Fold","deviceManufacturer":"Google","androidRelease":"17","sdkInt":37,"productName":"CarANC","subscriptionPlan":"pro_monthly","subscriptionLabel":"專業版（月訂）","safetyConsentAccepted":true}
{"ts":1781739456137,"phase":"service_start","subscriptionPlan":"pro_monthly","mimoEnabled":true,"obdEnabled":true}
{"ts":1781739456185,"phase":"aa_connected","connectionType":2}
{"ts":1781739678063,"phase":"bump_detected","blockRms":0.063408785,"frozen":true}
{"ts":1781739678091,"phase":"bump_detected","blockRms":0.14037527,"frozen":true}
{"ts":1781739678097,"phase":"bump_detected","blockRms":0.3802056,"frozen":true}
{"ts":1781739678101,"phase":"bump_detected","blockRms":0.29805598,"frozen":true}
{"ts":1781739678119,"phase":"bump_detected","blockRms":0.26775065,"frozen":true}
{"ts":1781739678122,"phase":"bump_detected","blockRms":0.39285725,"frozen":true}
{"ts":1781739678771,"phase":"bump_detected","blockRms":0.16042557,"frozen":true}
{"ts":1781739678777,"phase":"bump_detected","blockRms":0.42090687,"frozen":true}
{"ts":1781739678782,"phase":"bump_detected","blockRms":0.28952327,"frozen":true}
{"ts":1781739678791,"phase":"bump_detected","blockRms":0.25395745,"frozen":true}
{"ts":1781739678794,"phase":"bump_detected","blockRms":0.3497735,"frozen":true}
{"ts":1781739678811,"phase":"bump_detected","blockRms":0.3616222,"frozen":true}
{"ts":1781739679246,"phase":"bump_detected","blockRms":0.14245202,"frozen":true}
{"ts":1781739679253,"phase":"bump_detected","blockRms":0.24324544,"frozen":true}
{"ts":1781739679270,"phase":"bump_detected","blockRms":0.18940867,"frozen":true}
{"ts":1781739679285,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-14.452003,"cancelledDb":-14.452003,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.0063393684,"bandMidRatio":0.0045242724,"bandHighRatio":0.98913634,"bandConfidence":0.98279697,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.38995934,"speedValid":true,"speedAccuracyM":11.066,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739679300,"phase":"bump_detected","blockRms":0.16777606,"frozen":true}
{"ts":1781739679639,"phase":"bump_detected","blockRms":0.06865045,"frozen":true}
{"ts":1781739679646,"phase":"bump_detected","blockRms":0.08197358,"frozen":true}
{"ts":1781739679724,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-77.21892,"cancelledDb":-78.0205,"reductionDb":0.80158234,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":318.18753,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1556,"suggestedObserveSec":0}
{"ts":1781739679800,"phase":"bump_detected","blockRms":0.063436225,"frozen":true}
{"ts":1781739679812,"phase":"bump_detected","blockRms":0.2579874,"frozen":true}
{"ts":1781739679815,"phase":"bump_detected","blockRms":0.18788342,"frozen":true}
{"ts":1781739679851,"phase":"bump_detected","blockRms":0.09292789,"frozen":true}
{"ts":1781739680227,"phase":"bump_detected","blockRms":0.06438329,"frozen":true}
{"ts":1781739680230,"phase":"bump_detected","blockRms":0.14654364,"frozen":true}
{"ts":1781739680236,"phase":"bump_detected","blockRms":0.109683715,"frozen":true}
{"ts":1781739680410,"phase":"bump_detected","blockRms":0.0857752,"frozen":true}
{"ts":1781739680788,"phase":"bump_detected","blockRms":0.0565109,"frozen":true}
{"ts":1781739680793,"phase":"bump_detected","blockRms":0.037648723,"frozen":true}
{"ts":1781739680802,"phase":"bump_detected","blockRms":0.0927162,"frozen":true}
{"ts":1781739680808,"phase":"bump_detected","blockRms":0.23148869,"frozen":true}
{"ts":1781739680820,"phase":"bump_detected","blockRms":0.18783255,"frozen":true}
{"ts":1781739680999,"phase":"bump_detected","blockRms":0.07333644,"frozen":true}
{"ts":1781739681088,"phase":"bump_detected","blockRms":0.045765433,"frozen":true}
{"ts":1781739681181,"phase":"bump_detected","blockRms":0.08005616,"frozen":true}
{"ts":1781739681184,"phase":"bump_detected","blockRms":0.26203027,"frozen":true}
{"ts":1781739681188,"phase":"bump_detected","blockRms":0.21051876,"frozen":true}
{"ts":1781739681320,"phase":"bump_detected","blockRms":0.057464585,"frozen":true}
{"ts":1781739681355,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-68.40043,"cancelledDb":-68.40043,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.25017115,"bandMidRatio":0.20779108,"bandHighRatio":0.5420377,"bandConfidence":0.29186657,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.255334,"speedValid":true,"speedAccuracyM":9.438,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739681823,"phase":"bump_detected","blockRms":0.0796698,"frozen":true}
{"ts":1781739681834,"phase":"bump_detected","blockRms":0.035316333,"frozen":true}
{"ts":1781739681861,"phase":"bump_detected","blockRms":0.16113691,"frozen":true}
{"ts":1781739681890,"phase":"bump_detected","blockRms":0.108151205,"frozen":true}
{"ts":1781739681912,"phase":"bump_detected","blockRms":0.12988155,"frozen":true}
{"ts":1781739681930,"phase":"bump_detected","blockRms":0.22144236,"frozen":true}
{"ts":1781739681938,"phase":"bump_detected","blockRms":0.5014684,"frozen":true}
{"ts":1781739681944,"phase":"bump_detected","blockRms":0.3361742,"frozen":true}
{"ts":1781739682290,"phase":"bump_detected","blockRms":0.029807286,"frozen":true}
{"ts":1781739682714,"phase":"bump_detected","blockRms":0.087483875,"frozen":true}
{"ts":1781739682728,"phase":"bump_detected","blockRms":0.10367195,"frozen":true}
{"ts":1781739682739,"phase":"bump_detected","blockRms":0.044023816,"frozen":true}
{"ts":1781739682763,"phase":"bump_detected","blockRms":0.06134278,"frozen":true}
{"ts":1781739682841,"phase":"bump_detected","blockRms":0.043932885,"frozen":true}
{"ts":1781739682951,"phase":"bump_detected","blockRms":0.042293552,"frozen":true}
{"ts":1781739683189,"phase":"bump_detected","blockRms":0.067218065,"frozen":true}
{"ts":1781739683278,"phase":"bump_detected","blockRms":0.14325406,"frozen":true}
{"ts":1781739683294,"phase":"bump_detected","blockRms":0.39219192,"frozen":true}
{"ts":1781739683306,"phase":"bump_detected","blockRms":0.30884847,"frozen":true}
{"ts":1781739683407,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-71.304474,"cancelledDb":-71.304474,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.09115492,"bandMidRatio":0.065086134,"bandHighRatio":0.84375894,"bandConfidence":0.752604,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":15.591143,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.16341375,"speedValid":true,"speedAccuracyM":9.227,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739683536,"phase":"bump_detected","blockRms":0.051981356,"frozen":true}
{"ts":1781739683660,"phase":"bump_detected","blockRms":0.069423854,"frozen":true}
{"ts":1781739683691,"phase":"bump_detected","blockRms":0.12887709,"frozen":true}
{"ts":1781739683697,"phase":"bump_detected","blockRms":0.2925676,"frozen":true}
{"ts":1781739683713,"phase":"bump_detected","blockRms":0.2613044,"frozen":true}
{"ts":1781739683734,"phase":"bump_detected","blockRms":0.24079098,"frozen":true}
{"ts":1781739684202,"phase":"bump_detected","blockRms":0.08674942,"frozen":true}
{"ts":1781739684226,"phase":"bump_detected","blockRms":0.1323697,"frozen":true}
{"ts":1781739684284,"phase":"bump_detected","blockRms":0.1140958,"frozen":true}
{"ts":1781739684519,"phase":"bump_detected","blockRms":0.07148333,"frozen":true}
{"ts":1781739684714,"phase":"bump_detected","blockRms":0.03845457,"frozen":true}
{"ts":1781739684721,"phase":"bump_detected","blockRms":0.044525586,"frozen":true}
{"ts":1781739684744,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-72.16177,"cancelledDb":-74.227745,"reductionDb":2.0659714,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":318.18753,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1561,"suggestedObserveSec":0}
{"ts":1781739684775,"phase":"bump_detected","blockRms":0.070746854,"frozen":true}
{"ts":1781739684782,"phase":"bump_detected","blockRms":0.19268915,"frozen":true}
{"ts":1781739684801,"phase":"bump_detected","blockRms":0.20537247,"frozen":true}
{"ts":1781739685195,"phase":"bump_detected","blockRms":0.04087099,"frozen":true}
{"ts":1781739685301,"phase":"bump_detected","blockRms":0.059686914,"frozen":true}
{"ts":1781739685342,"phase":"bump_detected","blockRms":0.03462149,"frozen":true}
{"ts":1781739685350,"phase":"bump_detected","blockRms":0.09315551,"frozen":true}
{"ts":1781739685352,"phase":"bump_detected","blockRms":0.06934394,"frozen":true}
{"ts":1781739685435,"phase":"bump_detected","blockRms":0.06565393,"frozen":true}
{"ts":1781739685457,"phase":"bump_detected","blockRms":0.13593692,"frozen":true}
{"ts":1781739685474,"phase":"bump_detected","blockRms":0.08880069,"frozen":true}
{"ts":1781739685487,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-21.031673,"cancelledDb":-21.031673,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.005270865,"bandMidRatio":0.004457739,"bandHighRatio":0.9902714,"bandConfidence":0.98500055,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.104584806,"speedValid":true,"speedAccuracyM":9.009,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739685659,"phase":"bump_detected","blockRms":0.08339996,"frozen":true}
{"ts":1781739685669,"phase":"bump_detected","blockRms":0.06120938,"frozen":true}
{"ts":1781739685699,"phase":"bump_detected","blockRms":0.09147925,"frozen":true}
{"ts":1781739685833,"phase":"bump_detected","blockRms":0.09435635,"frozen":true}
{"ts":1781739685840,"phase":"bump_detected","blockRms":0.102230616,"frozen":true}
{"ts":1781739685896,"phase":"bump_detected","blockRms":0.07360624,"frozen":true}
{"ts":1781739685906,"phase":"bump_detected","blockRms":0.14074267,"frozen":true}
{"ts":1781739686230,"phase":"bump_detected","blockRms":0.04754704,"frozen":true}
{"ts":1781739686287,"phase":"bump_detected","blockRms":0.08463094,"frozen":true}
{"ts":1781739686299,"phase":"bump_detected","blockRms":0.056130793,"frozen":true}
{"ts":1781739686405,"phase":"bump_detected","blockRms":0.13238862,"frozen":true}
{"ts":1781739686411,"phase":"bump_detected","blockRms":0.5200227,"frozen":true}
{"ts":1781739686419,"phase":"bump_detected","blockRms":0.43164375,"frozen":true}
{"ts":1781739686826,"phase":"bump_detected","blockRms":0.08560478,"frozen":true}
{"ts":1781739687127,"phase":"bump_detected","blockRms":0.03763813,"frozen":true}
{"ts":1781739687173,"phase":"bump_detected","blockRms":0.059238512,"frozen":true}
{"ts":1781739687325,"phase":"bump_detected","blockRms":0.077076904,"frozen":true}
{"ts":1781739687339,"phase":"bump_detected","blockRms":0.06659185,"frozen":true}
{"ts":1781739687552,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-54.283737,"cancelledDb":-54.283737,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.031962752,"bandMidRatio":0.028044397,"bandHighRatio":0.93999285,"bandConfidence":0.9080301,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.36213428,"speedValid":true,"speedAccuracyM":8.644,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739687590,"phase":"bump_detected","blockRms":0.073838696,"frozen":true}
{"ts":1781739688115,"phase":"bump_detected","blockRms":0.054405898,"frozen":true}
{"ts":1781739688120,"phase":"bump_detected","blockRms":0.15550081,"frozen":true}
{"ts":1781739688123,"phase":"bump_detected","blockRms":0.17607227,"frozen":true}
{"ts":1781739688131,"phase":"bump_detected","blockRms":0.0952772,"frozen":true}
{"ts":1781739688140,"phase":"bump_detected","blockRms":0.11326216,"frozen":true}
{"ts":1781739688149,"phase":"bump_detected","blockRms":0.30905512,"frozen":true}
{"ts":1781739688562,"phase":"bump_detected","blockRms":0.18781528,"frozen":true}
{"ts":1781739688587,"phase":"bump_detected","blockRms":0.18014112,"frozen":true}
{"ts":1781739689010,"phase":"bump_detected","blockRms":0.10536182,"frozen":true}
{"ts":1781739689073,"phase":"bump_detected","blockRms":0.08255643,"frozen":true}
{"ts":1781739689078,"phase":"bump_detected","blockRms":0.08297561,"frozen":true}
{"ts":1781739689110,"phase":"bump_detected","blockRms":0.06504923,"frozen":true}
{"ts":1781739689112,"phase":"bump_detected","blockRms":0.07541268,"frozen":true}
{"ts":1781739689255,"phase":"bump_detected","blockRms":0.07042078,"frozen":true}
{"ts":1781739689456,"phase":"bump_detected","blockRms":0.095140286,"frozen":true}
{"ts":1781739689460,"phase":"bump_detected","blockRms":0.21602488,"frozen":true}
{"ts":1781739689463,"phase":"bump_detected","blockRms":0.17035139,"frozen":true}
{"ts":1781739689538,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-61.196175,"cancelledDb":-61.196175,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.21085772,"bandMidRatio":0.1877506,"bandHighRatio":0.60139173,"bandConfidence":0.390534,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.8021074,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.23176594,"speedValid":true,"speedAccuracyM":13.988,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739689754,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-62.618805,"cancelledDb":-62.618805,"reductionDb":0.0,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":318.18753,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1566,"suggestedObserveSec":0}
{"ts":1781739689931,"phase":"bump_detected","blockRms":0.026692992,"frozen":true}
{"ts":1781739689940,"phase":"bump_detected","blockRms":0.08951616,"frozen":true}
{"ts":1781739689962,"phase":"bump_detected","blockRms":0.07747724,"frozen":true}
{"ts":1781739689973,"phase":"bump_detected","blockRms":0.11118698,"frozen":true}
{"ts":1781739689974,"phase":"bump_detected","blockRms":0.06625456,"frozen":true}
{"ts":1781739689980,"phase":"bump_detected","blockRms":0.08844569,"frozen":true}
{"ts":1781739689987,"phase":"bump_detected","blockRms":0.10719998,"frozen":true}
{"ts":1781739689997,"phase":"bump_detected","blockRms":0.2603308,"frozen":true}
{"ts":1781739690022,"phase":"bump_detected","blockRms":0.22899845,"frozen":true}
{"ts":1781739690428,"phase":"bump_detected","blockRms":0.08356687,"frozen":true}
{"ts":1781739690496,"phase":"bump_detected","blockRms":0.13202299,"frozen":true}
{"ts":1781739690499,"phase":"bump_detected","blockRms":0.10374943,"frozen":true}
{"ts":1781739690551,"phase":"bump_detected","blockRms":0.15306346,"frozen":true}
{"ts":1781739690559,"phase":"bump_detected","blockRms":0.13716364,"frozen":true}
{"ts":1781739690596,"phase":"bump_detected","blockRms":0.09685519,"frozen":true}
{"ts":1781739690609,"phase":"bump_detected","blockRms":0.15654257,"frozen":true}
{"ts":1781739690621,"phase":"bump_detected","blockRms":0.1446277,"frozen":true}
{"ts":1781739690721,"phase":"bump_detected","blockRms":0.081944935,"frozen":true}
{"ts":1781739690724,"phase":"bump_detected","blockRms":0.083651975,"frozen":true}
{"ts":1781739690728,"phase":"bump_detected","blockRms":0.08980095,"frozen":true}
{"ts":1781739690731,"phase":"bump_detected","blockRms":0.11862886,"frozen":true}
{"ts":1781739690996,"phase":"bump_detected","blockRms":0.054300666,"frozen":true}
{"ts":1781739691302,"phase":"bump_detected","blockRms":0.10385391,"frozen":true}
{"ts":1781739691306,"phase":"bump_detected","blockRms":0.049549907,"frozen":true}
{"ts":1781739691322,"phase":"bump_detected","blockRms":0.047485273,"frozen":true}
{"ts":1781739691326,"phase":"bump_detected","blockRms":0.106160045,"frozen":true}
{"ts":1781739691329,"phase":"bump_detected","blockRms":0.08314348,"frozen":true}
{"ts":1781739691648,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-76.92505,"cancelledDb":-76.92505,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.179756,"bandMidRatio":0.13715973,"bandHighRatio":0.6830843,"bandConfidence":0.5033283,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":5.8311872,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.37153018,"speedValid":true,"speedAccuracyM":15.663,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739691793,"phase":"bump_detected","blockRms":0.034373395,"frozen":true}
{"ts":1781739691806,"phase":"bump_detected","blockRms":0.065158114,"frozen":true}
{"ts":1781739691887,"phase":"bump_detected","blockRms":0.08543167,"frozen":true}
{"ts":1781739691895,"phase":"bump_detected","blockRms":0.12294731,"frozen":true}
{"ts":1781739691901,"phase":"bump_detected","blockRms":0.09878978,"frozen":true}
{"ts":1781739691913,"phase":"bump_detected","blockRms":0.09911882,"frozen":true}
{"ts":1781739692082,"phase":"bump_detected","blockRms":0.094003566,"frozen":true}
{"ts":1781739692099,"phase":"bump_detected","blockRms":0.04631515,"frozen":true}
{"ts":1781739692117,"phase":"bump_detected","blockRms":0.05938795,"frozen":true}
{"ts":1781739692205,"phase":"bump_detected","blockRms":0.047995225,"frozen":true}
{"ts":1781739692759,"phase":"bump_detected","blockRms":0.074753,"frozen":true}
{"ts":1781739692764,"phase":"bump_detected","blockRms":0.06356694,"frozen":true}
{"ts":1781739692847,"phase":"bump_detected","blockRms":0.07119935,"frozen":true}
{"ts":1781739692850,"phase":"bump_detected","blockRms":0.10074336,"frozen":true}
{"ts":1781739692852,"phase":"bump_detected","blockRms":0.07076696,"frozen":true}
{"ts":1781739692860,"phase":"bump_detected","blockRms":0.08282998,"frozen":true}
{"ts":1781739692961,"phase":"bump_detected","blockRms":0.048009437,"frozen":true}
{"ts":1781739692966,"phase":"bump_detected","blockRms":0.095929824,"frozen":true}
{"ts":1781739692969,"phase":"bump_detected","blockRms":0.06252378,"frozen":true}
{"ts":1781739693087,"phase":"bump_detected","blockRms":0.038328998,"frozen":true}
{"ts":1781739693284,"phase":"bump_detected","blockRms":0.07172708,"frozen":true}
{"ts":1781739693287,"phase":"bump_detected","blockRms":0.06937633,"frozen":true}
{"ts":1781739693359,"phase":"bump_detected","blockRms":0.07249175,"frozen":true}
{"ts":1781739693362,"phase":"bump_detected","blockRms":0.0945824,"frozen":true}
{"ts":1781739693570,"phase":"bump_detected","blockRms":0.021600712,"frozen":true}
{"ts":1781739693571,"phase":"bump_detected","blockRms":0.07667814,"frozen":true}
{"ts":1781739693591,"phase":"bump_detected","blockRms":0.08058734,"frozen":true}
{"ts":1781739693594,"phase":"bump_detected","blockRms":0.0587429,"frozen":true}
{"ts":1781739693625,"phase":"bump_detected","blockRms":0.06186126,"frozen":true}
{"ts":1781739693629,"phase":"bump_detected","blockRms":0.02922563,"frozen":true}
{"ts":1781739693637,"phase":"bump_detected","blockRms":0.08439448,"frozen":true}
{"ts":1781739693638,"phase":"bump_detected","blockRms":0.077176996,"frozen":true}
{"ts":1781739693647,"phase":"bump_detected","blockRms":0.07717887,"frozen":true}
{"ts":1781739693674,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-56.82011,"cancelledDb":-56.82011,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":61,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.26250228,"bandMidRatio":0.20681866,"bandHighRatio":0.5306791,"bandConfidence":0.26817682,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":4.470782,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.2953793,"speedValid":true,"speedAccuracyM":13.818,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":318.18753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":1.2708334,"latencyFrameworkMs":35.0}
{"ts":1781739693682,"phase":"bump_detected","blockRms":0.038222224,"frozen":true}
{"ts":1781739693689,"phase":"bump_detected","blockRms":0.09615696,"frozen":true}
{"ts":1781739693691,"phase":"bump_detected","blockRms":0.07247262,"frozen":true}
{"ts":1781739693704,"phase":"bump_detected","blockRms":0.085362315,"frozen":true}
{"ts":1781739693735,"phase":"bump_detected","blockRms":0.08338256,"frozen":true}
{"ts":1781739693739,"phase":"bump_detected","blockRms":0.05816592,"frozen":true}
